,First_pokemon,Second_pokemon,Winner
29834,Nidorina,Mew,Mew
29835,Gible,Kirlia,Kirlia
29836,Yanma,Mega Altaria,Yanma
29837,Meganium,Arcanine,Arcanine
29838,Drilbur,Jumpluff,Jumpluff
29839,Wartortle,Lillipup,Wartortle
29840,Pancham,Dwebble,Dwebble
29841,Joltik,Tyrantrum,Tyrantrum
29842,Umbreon,Unfezant,Unfezant
29843,Kyogre,Espeon,Espeon
29844,Durant,Pidove,Durant
29845,Mega Garchomp,Spoink,Mega Garchomp
29846,Larvitar,Golurk,Golurk
29847,Vigoroth,Infernape,Infernape
29848,Dusclops,Duskull,Duskull
29849,Tyranitar,Linoone,Linoone
29850,Mega Gyarados,Woobat,Mega Gyarados
29851,Lickilicky,Meditite,Meditite
29852,Gligar,Larvitar,Gligar
29853,Seaking,Azurill,Seaking
29854,Floatzel,Volcarona,Floatzel
29855,Roggenrola,Vivillon,Roggenrola
29856,Electrode,Mega Blaziken,Electrode
29857,Scatterbug,Chimchar,Chimchar
29858,Rufflet,Mothim,Mothim
29859,Ambipom,Zorua,Ambipom
29860,Victini,Squirtle,Victini
29861,Seviper,Scizor,Scizor
29862,Onix,Grimer,Onix
29863,Roselia,Medicham,Medicham
29864,Bidoof,Cacnea,Cacnea
29865,Metang,Mega Ampharos,Metang
29866,Joltik,Luxray,Luxray
29867,Doublade,Eelektrik,Eelektrik
29868,Vigoroth,Accelgor,Accelgor
29869,Kabuto,Mega Pidgeot,Mega Pidgeot
29870,Octillery,Azurill,Octillery
29871,Weepinbell,Caterpie,Weepinbell
29872,Squirtle,Dragonair,Dragonair
29873,Mega Garchomp,Feraligatr,Mega Garchomp
29874,Sigilyph,White Kyurem,Sigilyph
29875,Mega Mewtwo Y,Elgyem,Mega Mewtwo Y
29876,Luxio,Quilladin,Luxio
29877,Murkrow,Luvdisc,Luvdisc
29878,Pansear,Darmanitan Zen Mode,Pansear
29879,Clauncher,Manaphy,Manaphy
29880,Shroomish,Scizor,Scizor
29881,Pachirisu,Croagunk,Pachirisu
29882,Ninjask,Boldore,Boldore
29883,Steelix,Fan Rotom,Fan Rotom
29884,Hoopa Confined,Mega Charizard Y,Mega Charizard Y
29885,Aggron,Feebas,Aggron
29886,Meowstic Female,Tepig,Meowstic Female
29887,Mega Beedrill,Clawitzer,Mega Beedrill
29888,Trubbish,Nidoran♀,Trubbish
29889,Cacnea,Remoraid,Remoraid
29890,Bulbasaur,Bisharp,Bisharp
29891,Skiploom,Muk,Muk
29892,Pachirisu,Fletchling,Pachirisu
29893,Wobbuffet,Helioptile,Helioptile
29894,Spinda,Ludicolo,Ludicolo
29895,Tympole,Marowak,Tympole
29896,Exeggcute,Cubchoo,Cubchoo
29897,Furret,Roggenrola,Furret
29898,Koffing,Torchic,Torchic
29899,Salamence,Swellow,Swellow
29900,Escavalier,Yamask,Escavalier
29901,Shuckle,Alomomola,Alomomola
29902,Pignite,Cloyster,Cloyster
29903,Raikou,Electivire,Raikou
29904,Mankey,Munna,Mankey
29905,Rhydon,Pidove,Pidove
29906,Avalugg,Burmy Plant Cloak,Burmy Plant Cloak
29907,Darmanitan Zen Mode,Nidoran♂,Darmanitan Zen Mode
29908,Misdreavus,Trubbish,Misdreavus
29909,Shedinja,Totodile,Totodile
29910,Tyranitar,Drifloon,Drifloon
29911,Conkeldurr,Mega Mawile,Mega Mawile
29912,Gourgeist Small Size,Phantump,Gourgeist Small Size
29913,Prinplup,Cleffa,Prinplup
29914,Lombre,Luxray,Luxray
29915,Jirachi,Yanma,Jirachi
29916,Unown,Bisharp,Bisharp
29917,Flygon,Shellos,Flygon
29918,Yanmega,Torterra,Yanmega
29919,Kabuto,Hippowdon,Kabuto
29920,Rhyperior,Ambipom,Rhyperior
29921,Smoochum,Mega Camerupt,Mega Camerupt
29922,Latias,Entei,Latias
29923,Ninjask,Marshtomp,Ninjask
29924,Mega Banette,Snover,Mega Banette
29925,Flareon,Glaceon,Glaceon
29926,Flygon,Stunky,Flygon
29927,Seismitoad,Absol,Absol
29928,Electabuzz,Poochyena,Electabuzz
29929,Gothitelle,Grumpig,Grumpig
29930,Vullaby,Cresselia,Vullaby
29931,Shuckle,Charizard,Charizard
29932,Fraxure,Petilil,Fraxure
29933,Mankey,Murkrow,Murkrow
29934,Suicune,Mareep,Suicune
29935,Bibarel,Emboar,Bibarel
29936,Smeargle,Luxio,Smeargle
29937,Grovyle,Skitty,Grovyle
29938,Victini,Magcargo,Victini
29939,Mienshao,Weepinbell,Mienshao
29940,Wormadam Trash Cloak,Victini,Victini
29941,Seismitoad,Medicham,Medicham
29942,Chesnaught,Tepig,Chesnaught
29943,Ponyta,Togekiss,Ponyta
29944,Machop,Medicham,Medicham
29945,Landorus Incarnate Form,Swanna,Landorus Incarnate Form
29946,Tentacool,Dugtrio,Dugtrio
29947,Tyranitar,Minccino,Minccino
29948,Elgyem,Venomoth,Venomoth
29949,Deoxys Normal Form,Reuniclus,Deoxys Normal Form
29950,Yveltal,Exeggcute,Yveltal
29951,Numel,Shuppet,Shuppet
29952,Arbok,Unfezant,Unfezant
29953,Trevenant,Pinsir,Pinsir
29954,Cofagrigus,Luxray,Luxray
29955,Snorlax,Fearow,Snorlax
29956,Banette,Kricketot,Banette
29957,Deoxys Attack Form,Cradily,Deoxys Attack Form
29958,Qwilfish,Mega Gallade,Mega Gallade
29959,Mightyena,Magikarp,Mightyena
29960,Onix,Dunsparce,Onix
29961,Pidgey,Bibarel,Bibarel
29962,Herdier,Swellow,Swellow
29963,Salamence,Ducklett,Salamence
29964,Hitmonlee,Seaking,Hitmonlee
29965,Bronzor,Salamence,Salamence
29966,Samurott,Shinx,Samurott
29967,Vullaby,Combee,Combee
29968,Snubbull,Zoroark,Zoroark
29969,Cherrim,Litwick,Cherrim
29970,Combusken,Emolga,Emolga
29971,Shedinja,Nincada,Nincada
29972,Minun,Sharpedo,Sharpedo
29973,Seismitoad,Spritzee,Seismitoad
29974,Mega Absol,Goodra,Mega Absol
29975,Drifloon,Patrat,Patrat
29976,Probopass,Mega Latios,Mega Latios
29977,Lugia,Serperior,Serperior
29978,Seismitoad,Swellow,Swellow
29979,Taillow,Mandibuzz,Taillow
29980,Weepinbell,Lotad,Weepinbell
29981,Espurr,Kyurem,Kyurem
29982,Jumpluff,Gorebyss,Jumpluff
29983,Hydreigon,Jolteon,Jolteon
29984,Nidoqueen,Sharpedo,Sharpedo
29985,Torchic,Nuzleaf,Nuzleaf
29986,Azelf,Patrat,Azelf
29987,Mega Sableye,Doublade,Doublade
29988,Alakazam,Bellsprout,Alakazam
29989,Clamperl,Shieldon,Clamperl
29990,Pelipper,Grovyle,Grovyle
29991,Mankey,Jigglypuff,Mankey
29992,Mothim,Bergmite,Mothim
29993,Pansear,Floette,Pansear
29994,Raikou,Timburr,Raikou
29995,Chandelure,Raichu,Raichu
29996,Barboach,Mega Gallade,Mega Gallade
29997,Drapion,Porygon,Drapion
29998,Cyndaquil,Abra,Abra
29999,Wobbuffet,Malamar,Malamar
30000,Haunter,Persian,Persian
30001,Zweilous,Steelix,Zweilous
30002,Houndour,Dodrio,Dodrio
30003,Carbink,Omastar,Omastar
30004,Bunnelby,Sceptile,Sceptile
30005,Barbaracle,Buneary,Buneary
30006,Altaria,Piplup,Altaria
30007,Mareep,Dratini,Dratini
30008,Mega Beedrill,Quilava,Mega Beedrill
30009,Marshtomp,Dewott,Dewott
30010,Deoxys Speed Form,Celebi,Deoxys Speed Form
30011,Surskit,Mega Garchomp,Mega Garchomp
30012,Lucario,Walrein,Lucario
30013,Tepig,Seedot,Tepig
30014,Krabby,Hoopa Confined,Hoopa Confined
30015,Beldum,Graveler,Graveler
30016,Machop,Mega Gyarados,Mega Gyarados
30017,Krookodile,Phione,Krookodile
30018,Litleo,Skrelp,Litleo
30019,Feebas,Piloswine,Piloswine
30020,Rayquaza,Tentacool,Rayquaza
30021,Mismagius,Trapinch,Trapinch
30022,Cyndaquil,Stunky,Stunky
30023,Oddish,Shedinja,Shedinja
30024,Mega Gallade,Murkrow,Murkrow
30025,Vigoroth,Whirlipede,Vigoroth
30026,Chingling,Deoxys Defense Form,Deoxys Defense Form
30027,Suicune,Treecko,Suicune
30028,Rufflet,Vaporeon,Vaporeon
30029,Primeape,Zorua,Primeape
30030,Blaziken,Starly,Blaziken
30031,Baltoy,Flaaffy,Baltoy
30032,Snorlax,Registeel,Registeel
30033,Taillow,Suicune,Suicune
30034,Weavile,Slowpoke,Weavile
30035,Bastiodon,Bayleef,Bayleef
30036,Torchic,Corsola,Torchic
30037,Anorith,Carracosta,Carracosta
30038,Prinplup,Duosion,Prinplup
30039,Nidoran♂,Tornadus Incarnate Form,Tornadus Incarnate Form
30040,Shinx,Mega Gallade,Mega Gallade
30041,Hoothoot,Mega Swampert,Hoothoot
30042,Monferno,Chingling,Monferno
30043,Hoopa Unbound,Litwick,Hoopa Unbound
30044,Spinda,Mega Abomasnow,Spinda
30045,Smoochum,Seel,Smoochum
30046,Exploud,Pidgeot,Pidgeot
30047,Mega Scizor,Delibird,Delibird
30048,Ludicolo,Pyroar,Pyroar
30049,Piplup,Illumise,Illumise
30050,Fearow,Giratina Origin Form,Giratina Origin Form
30051,Terrakion,Kingler,Terrakion
30052,Meganium,Silcoon,Meganium
30053,Hydreigon,Braviary,Hydreigon
30054,Golem,Lucario,Lucario
30055,Rhydon,Lampent,Rhydon
30056,Krookodile,Landorus Therian Form,Krookodile
30057,Articuno,Alomomola,Articuno
30058,Galvantula,Smeargle,Galvantula
30059,Ralts,Wingull,Wingull
30060,Toxicroak,Poliwrath,Toxicroak
30061,Slaking,Jirachi,Jirachi
30062,Rampardos,Herdier,Herdier
30063,Mega Latios,Mandibuzz,Mega Latios
30064,Jigglypuff,Voltorb,Jigglypuff
30065,Magmortar,Togetic,Magmortar
30066,Gabite,Ralts,Gabite
30067,Quagsire,Wynaut,Quagsire
30068,Bellsprout,Kricketot,Bellsprout
30069,Cryogonal,Banette,Cryogonal
30070,Mareep,Paras,Mareep
30071,Miltank,Watchog,Miltank
30072,Combusken,Shiftry,Shiftry
30073,Herdier,Aron,Herdier
30074,Rattata,Zekrom,Zekrom
30075,Metagross,Gothorita,Metagross
30076,Kabutops,Beheeyem,Kabutops
30077,Barboach,Electabuzz,Electabuzz
30078,Pumpkaboo Average Size,Noctowl,Noctowl
30079,Tympole,Abomasnow,Tympole
30080,Accelgor,Meditite,Accelgor
30081,Cradily,Timburr,Cradily
30082,Cresselia,Minun,Minun
30083,Salamence,Barboach,Salamence
30084,Blitzle,Ledian,Ledian
30085,Malamar,Koffing,Malamar
30086,Venusaur,Rapidash,Rapidash
30087,Omanyte,Audino,Audino
30088,Kyurem,Litleo,Kyurem
30089,Porygon-Z,Mega Venusaur,Porygon-Z
30090,Heliolisk,Eelektross,Heliolisk
30091,Cascoon,Suicune,Suicune
30092,Phione,Mega Absol,Mega Absol
30093,Snorlax,Mothim,Mothim
30094,Glameow,Mega Mewtwo Y,Mega Mewtwo Y
30095,Solrock,Trapinch,Trapinch
30096,Munchlax,Hippopotas,Munchlax
30097,Chinchou,Gloom,Chinchou
30098,Purugly,Fennekin,Purugly
30099,Bellossom,Gliscor,Gliscor
30100,Palpitoad,Azurill,Palpitoad
30101,Dedenne,Porygon-Z,Dedenne
30102,Bronzong,Purugly,Purugly
30103,Vespiquen,Darkrai,Darkrai
30104,Terrakion,Latias,Latias
30105,Magikarp,Wobbuffet,Wobbuffet
30106,Mega Manectric,Quagsire,Mega Manectric
30107,Barboach,Dugtrio,Dugtrio
30108,Bouffalant,Numel,Bouffalant
30109,Treecko,Bayleef,Treecko
30110,Mega Blastoise,Kricketune,Mega Blastoise
30111,Umbreon,Seaking,Seaking
30112,Elgyem,Manaphy,Manaphy
30113,Jolteon,Simisage,Jolteon
30114,Breloom,Woobat,Woobat
30115,Lombre,Cacturne,Cacturne
30116,Mega Rayquaza,Darmanitan Standard Mode,Mega Rayquaza
30117,Simisage,Qwilfish,Simisage
30118,Pyroar,Mega Sceptile,Mega Sceptile
30119,Nidoking,Granbull,Nidoking
30120,Helioptile,Shuppet,Helioptile
30121,Nidoran♀,Girafarig,Girafarig
30122,Audino,Swalot,Swalot
30123,Timburr,Entei,Entei
30124,Machoke,Hitmontop,Hitmontop
30125,Budew,Krabby,Budew
30126,Granbull,Flaaffy,Flaaffy
30127,Seviper,Exploud,Exploud
30128,Pineco,Simisear,Simisear
30129,Wash Rotom,Banette,Wash Rotom
30130,Furret,Sigilyph,Sigilyph
30131,Phantump,Deoxys Speed Form,Deoxys Speed Form
30132,Surskit,Whiscash,Surskit
30133,Slakoth,Umbreon,Umbreon
30134,Rhydon,Nidoran♀,Nidoran♀
30135,Tangela,Volcarona,Volcarona
30136,Swinub,Regigigas,Regigigas
30137,Typhlosion,Dewott,Typhlosion
30138,Archeops,Claydol,Archeops
30139,Rayquaza,Greninja,Greninja
30140,Oshawott,Zebstrika,Zebstrika
30141,Dustox,Mega Charizard Y,Mega Charizard Y
30142,Mega Altaria,Fletchinder,Fletchinder
30143,Parasect,Quilladin,Quilladin
30144,Spheal,Lugia,Lugia
30145,Scizor,Kyurem,Kyurem
30146,Linoone,Suicune,Linoone
30147,Golett,Lickilicky,Lickilicky
30148,Pansear,Giratina Altered Form,Giratina Altered Form
30149,Kangaskhan,Camerupt,Kangaskhan
30150,Virizion,Drilbur,Virizion
30151,Zygarde 50% Form,Yanma,Yanma
30152,Chikorita,Talonflame,Talonflame
30153,Zorua,Baltoy,Zorua
30154,Persian,Shelmet,Persian
30155,Noivern,Cascoon,Noivern
30156,Frost Rotom,Aegislash Blade Form,Frost Rotom
30157,Swoobat,Gible,Swoobat
30158,Mega Swampert,Mega Charizard X,Mega Charizard X
30159,Regirock,Mega Sableye,Mega Sableye
30160,Abomasnow,Gothita,Abomasnow
30161,Gourgeist Super Size,Groudon,Groudon
30162,Drifblim,Zapdos,Zapdos
30163,Tyrantrum,Kabutops,Kabutops
30164,Mega Pinsir,Spritzee,Mega Pinsir
30165,Whiscash,Alakazam,Alakazam
30166,Swampert,Chinchou,Chinchou
30167,Sliggoo,Thundurus Therian Form,Thundurus Therian Form
30168,Noctowl,Lotad,Noctowl
30169,Tyrogue,Azelf,Azelf
30170,Mew,Duosion,Mew
30171,Fennekin,Jigglypuff,Fennekin
30172,Misdreavus,Meditite,Misdreavus
30173,Gothorita,Ampharos,Ampharos
30174,Kirlia,Vaporeon,Vaporeon
30175,Carvanha,Electabuzz,Electabuzz
30176,Mega Abomasnow,Mega Lopunny,Mega Lopunny
30177,Mega Manectric,Whiscash,Mega Manectric
30178,Ninetales,Ampharos,Ninetales
30179,Tynamo,Pancham,Tynamo
30180,Bayleef,Beldum,Bayleef
30181,Shuppet,Gorebyss,Gorebyss
30182,Scatterbug,Deino,Deino
30183,Solrock,Mega Medicham,Mega Medicham
30184,Bonsly,Mienfoo,Mienfoo
30185,Sawsbuck,Hydreigon,Hydreigon
30186,Klang,Dragalge,Klang
30187,Masquerain,Bastiodon,Masquerain
30188,Kingdra,Politoed,Kingdra
30189,Sunflora,Trubbish,Trubbish
30190,Phanpy,Cascoon,Phanpy
30191,Beldum,Chansey,Beldum
30192,Gible,Gourgeist Small Size,Gourgeist Small Size
30193,Boldore,Rapidash,Boldore
30194,White Kyurem,Chesnaught,White Kyurem
30195,Mega Kangaskhan,Mega Manectric,Mega Manectric
30196,Loudred,Mothim,Mothim
30197,Staraptor,Druddigon,Staraptor
30198,Lampent,Carbink,Lampent
30199,Beartic,Vespiquen,Beartic
30200,Sneasel,Zweilous,Sneasel
30201,Chesnaught,Pangoro,Chesnaught
30202,Clauncher,Farfetch'd,Farfetch'd
30203,Noivern,Klink,Noivern
30204,Gabite,Sigilyph,Sigilyph
30205,Simisear,Mismagius,Mismagius
30206,Exeggcute,Frogadier,Frogadier
30207,Rufflet,Crawdaunt,Rufflet
30208,Gallade,Spoink,Gallade
30209,Shellos,Slaking,Slaking
30210,Forretress,Floatzel,Floatzel
30211,Patrat,Durant,Durant
30212,Unown,Spinarak,Unown
30213,Chingling,Jirachi,Jirachi
30214,Scatterbug,Suicune,Suicune
30215,Entei,Houndour,Entei
30216,Slaking,Clefable,Slaking
30217,Wingull,Latios,Latios
30218,Parasect,Chesnaught,Chesnaught
30219,Chespin,Primal Kyogre,Primal Kyogre
30220,Raticate,Helioptile,Raticate
30221,Goldeen,Bulbasaur,Goldeen
30222,Tornadus Incarnate Form,Alomomola,Tornadus Incarnate Form
30223,Elgyem,Shiftry,Shiftry
30224,Mr. Mime,Tropius,Mr. Mime
30225,Litleo,Girafarig,Girafarig
30226,Latios,Burmy Plant Cloak,Latios
30227,Samurott,Ducklett,Samurott
30228,Whismur,Ponyta,Ponyta
30229,Mega Mewtwo Y,Lumineon,Mega Mewtwo Y
30230,Mega Mawile,Mega Altaria,Mega Altaria
30231,Tangela,Garbodor,Garbodor
30232,Grotle,Rufflet,Rufflet
30233,Feraligatr,Rampardos,Feraligatr
30234,Simipour,Froakie,Simipour
30235,Tepig,Golurk,Golurk
30236,Noivern,Slugma,Noivern
30237,Mega Blaziken,Dewgong,Mega Blaziken
30238,Masquerain,Mega Houndoom,Mega Houndoom
30239,Barboach,Dwebble,Barboach
30240,Corsola,Sunflora,Corsola
30241,Vibrava,Dusclops,Vibrava
30242,Staryu,Litleo,Staryu
30243,Chandelure,Loudred,Loudred
30244,Slaking,Slakoth,Slaking
30245,Cinccino,Oshawott,Cinccino
30246,White Kyurem,Vespiquen,White Kyurem
30247,Cinccino,Mandibuzz,Cinccino
30248,Mega Tyranitar,Rattata,Rattata
30249,Kricketot,Throh,Throh
30250,Heracross,Magby,Heracross
30251,Gigalith,Eevee,Gigalith
30252,Beedrill,Blitzle,Blitzle
30253,Bellsprout,Dwebble,Dwebble
30254,Jumpluff,Purugly,Purugly
30255,Quagsire,Mega Charizard Y,Mega Charizard Y
30256,Azumarill,Kakuna,Azumarill
30257,Mega Gardevoir,Mankey,Mega Gardevoir
30258,Minccino,Chatot,Chatot
30259,Mightyena,Silcoon,Mightyena
30260,Kakuna,Beautifly,Beautifly
30261,Blaziken,Mega Aggron,Blaziken
30262,Grotle,Kyurem,Kyurem
30263,Amoonguss,Grotle,Grotle
30264,Whismur,Octillery,Octillery
30265,Dewott,Goldeen,Goldeen
30266,Diancie,Spewpa,Diancie
30267,Pupitar,Hitmonlee,Hitmonlee
30268,Dugtrio,Chingling,Dugtrio
30269,Carbink,Gabite,Gabite
30270,Thundurus Therian Form,Flabébé,Thundurus Therian Form
30271,Gigalith,Herdier,Gigalith
30272,Tyrunt,Mothim,Mothim
30273,Bunnelby,Nidoran♀,Bunnelby
30274,Phanpy,Skorupi,Skorupi
30275,Unown,Cranidos,Cranidos
30276,Sandslash,Shuckle,Sandslash
30277,Jynx,Duosion,Jynx
30278,Chimecho,Wurmple,Chimecho
30279,Tympole,Corphish,Tympole
30280,Diggersby,Genesect,Genesect
30281,Jigglypuff,Scatterbug,Scatterbug
30282,Sliggoo,Stunfisk,Sliggoo
30283,Swampert,Entei,Entei
30284,Dwebble,Deoxys Defense Form,Deoxys Defense Form
30285,Eelektross,Joltik,Joltik
30286,Umbreon,Diglett,Diglett
30287,Shedinja,Regirock,Regirock
30288,Cascoon,Lunatone,Lunatone
30289,Swampert,White Kyurem,White Kyurem
30290,Magcargo,Gourgeist Small Size,Gourgeist Small Size
30291,Virizion,Quilava,Virizion
30292,Medicham,Vaporeon,Medicham
30293,Talonflame,Throh,Talonflame
30294,Spoink,Talonflame,Talonflame
30295,Mega Houndoom,Dewgong,Mega Houndoom
30296,Phanpy,Dratini,Dratini
30297,Roggenrola,Mega Garchomp,Mega Garchomp
30298,Blissey,Regirock,Blissey
30299,Farfetch'd,Druddigon,Farfetch'd
30300,Riolu,Staravia,Staravia
30301,Flaaffy,Braixen,Braixen
30302,Mega Sableye,Tornadus Therian Form,Tornadus Therian Form
30303,Suicune,Slakoth,Suicune
30304,Lucario,Volcanion,Lucario
30305,Duskull,Golbat,Golbat
30306,Gengar,Pumpkaboo Average Size,Gengar
30307,Clefairy,Thundurus Therian Form,Thundurus Therian Form
30308,Arcanine,Dodrio,Dodrio
30309,Feebas,Zorua,Feebas
30310,Nidoqueen,Axew,Nidoqueen
30311,Gible,Mega Swampert,Mega Swampert
30312,Doduo,Lampent,Lampent
30313,Elekid,Electrike,Elekid
30314,Pansear,Hippopotas,Pansear
30315,Togekiss,Spewpa,Togekiss
30316,Corsola,Fearow,Fearow
30317,Flareon,Oshawott,Flareon
30318,Beheeyem,Wartortle,Wartortle
30319,Liepard,Rattata,Liepard
30320,Quagsire,Yanmega,Yanmega
30321,Gastrodon,Tornadus Therian Form,Tornadus Therian Form
30322,Uxie,Raikou,Raikou
30323,Geodude,Vanilluxe,Vanilluxe
30324,Quilladin,Moltres,Moltres
30325,Lileep,Gliscor,Gliscor
30326,Garbodor,Aipom,Aipom
30327,Skiploom,Wobbuffet,Skiploom
30328,Ho-oh,Nosepass,Ho-oh
30329,Piplup,Doduo,Doduo
30330,Solosis,Primal Kyogre,Primal Kyogre
30331,Dialga,Chinchou,Dialga
30332,Mega Lucario,Reuniclus,Mega Lucario
30333,Goldeen,Masquerain,Goldeen
30334,Phantump,Espeon,Espeon
30335,Meditite,Lombre,Meditite
30336,Weepinbell,Gloom,Weepinbell
30337,Spritzee,Lickitung,Lickitung
30338,Mantyke,Larvesta,Larvesta
30339,Heatmor,Mega Salamence,Mega Salamence
30340,Uxie,Wooper,Uxie
30341,Mega Pidgeot,Zubat,Mega Pidgeot
30342,Wartortle,Simisear,Simisear
30343,Kricketot,Flareon,Flareon
30344,Klinklang,Buneary,Klinklang
30345,Jigglypuff,Pawniard,Pawniard
30346,Flaaffy,Vanillish,Vanillish
30347,Alakazam,Dusknoir,Dusknoir
30348,Pangoro,Klink,Pangoro
30349,Fraxure,Sentret,Fraxure
30350,Noivern,Bastiodon,Bastiodon
30351,Marshtomp,Zekrom,Marshtomp
30352,Kirlia,Primal Groudon,Primal Groudon
30353,Cherrim,Shaymin Land Form,Shaymin Land Form
30354,Gloom,Gallade,Gallade
30355,Phantump,Nosepass,Phantump
30356,Goodra,Rhyperior,Goodra
30357,Gastrodon,Smoochum,Gastrodon
30358,Elgyem,White Kyurem,White Kyurem
30359,Seel,Venonat,Venonat
30360,Doublade,Sableye,Sableye
30361,Steelix,Carbink,Steelix
30362,Corsola,Sylveon,Sylveon
30363,Lombre,Scrafty,Scrafty
30364,Numel,Feraligatr,Feraligatr
30365,Kadabra,Finneon,Kadabra
30366,Mantine,Oshawott,Mantine
30367,Ekans,Whimsicott,Whimsicott
30368,Mega Medicham,Mewtwo,Mewtwo
30369,Mothim,Deerling,Deerling
30370,Mega Sharpedo,Tynamo,Mega Sharpedo
30371,Reuniclus,Geodude,Reuniclus
30372,Litwick,Bagon,Bagon
30373,Hoopa Confined,Pidove,Hoopa Confined
30374,Vullaby,Poliwhirl,Poliwhirl
30375,Vanilluxe,Shiftry,Shiftry
30376,Mew,Snivy,Mew
30377,Deoxys Speed Form,Treecko,Deoxys Speed Form
30378,Rampardos,Scrafty,Scrafty
30379,Elekid,Mega Audino,Elekid
30380,Munna,Shinx,Shinx
30381,Marshtomp,Ferrothorn,Marshtomp
30382,Banette,Axew,Banette
30383,Florges,Vaporeon,Florges
30384,Leafeon,Swoobat,Swoobat
30385,Hippowdon,Zangoose,Zangoose
30386,Mega Metagross,Foongus,Mega Metagross
30387,Amaura,Ledyba,Ledyba
30388,Sawk,Deino,Sawk
30389,Tauros,Thundurus Incarnate Form,Thundurus Incarnate Form
30390,Mega Glalie,Sneasel,Sneasel
30391,Scatterbug,Walrein,Walrein
30392,Smeargle,Snubbull,Snubbull
30393,Starmie,Raticate,Starmie
30394,Mega Tyranitar,Electrode,Mega Tyranitar
30395,Dwebble,Crobat,Crobat
30396,Bonsly,Croconaw,Croconaw
30397,Illumise,Exeggcute,Illumise
30398,Meowth,Foongus,Foongus
30399,Whiscash,Nidorino,Nidorino
30400,Hydreigon,Gourgeist Small Size,Gourgeist Small Size
30401,Totodile,Hypno,Hypno
30402,Squirtle,Farfetch'd,Farfetch'd
30403,Poliwhirl,Mudkip,Poliwhirl
30404,Nidoran♀,Amaura,Amaura
30405,Sandile,Sewaddle,Sandile
30406,Swanna,Haxorus,Swanna
30407,Mega Abomasnow,Abomasnow,Abomasnow
30408,Mega Banette,Growlithe,Mega Banette
30409,Banette,Sliggoo,Banette
30410,Gigalith,Mega Gallade,Mega Gallade
30411,Yamask,Nidorina,Nidorina
30412,Roggenrola,Dustox,Roggenrola
30413,Fletchinder,Weezing,Fletchinder
30414,Mega Venusaur,Numel,Mega Venusaur
30415,Dialga,Shinx,Dialga
30416,Eelektrik,Electrike,Electrike
30417,Hoppip,Gallade,Gallade
30418,Vigoroth,Hitmontop,Vigoroth
30419,Krookodile,Plusle,Plusle
30420,Poochyena,Gastly,Poochyena
30421,Growlithe,Snover,Growlithe
30422,Honedge,Fletchling,Fletchling
30423,Magby,Poochyena,Magby
30424,Petilil,Pinsir,Pinsir
30425,Armaldo,Mega Charizard X,Mega Charizard X
30426,Zebstrika,Muk,Zebstrika
30427,Marill,Marowak,Marowak
30428,Koffing,Amoonguss,Koffing
30429,Absol,Dragonair,Absol
30430,Magnemite,Bronzong,Magnemite
30431,Solrock,Pidgey,Solrock
30432,Ducklett,Slurpuff,Slurpuff
30433,Wormadam Plant Cloak,Diancie,Diancie
30434,Stantler,Mega Gyarados,Stantler
30435,Yveltal,Heatran,Yveltal
30436,Slurpuff,Watchog,Watchog
30437,Girafarig,Ledyba,Girafarig
30438,Trapinch,Sandile,Sandile
30439,Ferrothorn,Huntail,Ferrothorn
30440,Pignite,Mega Camerupt,Pignite
30441,Machamp,Mega Manectric,Mega Manectric
30442,Heatran,Houndour,Heatran
30443,Tangela,Tangrowth,Tangela
30444,Slowbro,Bagon,Bagon
30445,Camerupt,Solosis,Camerupt
30446,Rattata,Sceptile,Sceptile
30447,Dragalge,Nidoran♀,Dragalge
30448,Hitmonlee,Simisage,Simisage
30449,Mega Kangaskhan,Mega Sceptile,Mega Sceptile
30450,Mega Garchomp,Tyrantrum,Mega Garchomp
30451,Illumise,Cubone,Illumise
30452,Trubbish,Rayquaza,Rayquaza
30453,Kyogre,Pansear,Kyogre
30454,Spritzee,Larvesta,Larvesta
30455,Carvanha,Machoke,Carvanha
30456,Pidove,Noivern,Noivern
30457,Furfrou,Phanpy,Furfrou
30458,Minccino,Kecleon,Minccino
30459,Nidoking,Jynx,Jynx
30460,Nidoran♂,Nidorino,Nidorino
30461,Deoxys Defense Form,Monferno,Deoxys Defense Form
30462,Lillipup,Masquerain,Masquerain
30463,Skrelp,Lunatone,Lunatone
30464,Darumaka,Spinarak,Darumaka
30465,Marshtomp,Infernape,Infernape
30466,Haunter,Sunflora,Haunter
30467,Sandile,Solrock,Sandile
30468,Duosion,Moltres,Moltres
30469,Pinsir,Golurk,Golurk
30470,Meditite,Gulpin,Meditite
30471,Meloetta Aria Form,Mega Diancie,Mega Diancie
30472,Seadra,Golett,Golett
30473,Spheal,Kangaskhan,Kangaskhan
30474,Bagon,Helioptile,Helioptile
30475,Mega Heracross,Skitty,Mega Heracross
30476,Lickitung,Mega Beedrill,Mega Beedrill
30477,Druddigon,Greninja,Greninja
30478,Slaking,Panpour,Slaking
30479,Bulbasaur,Tropius,Tropius
30480,Misdreavus,Venipede,Misdreavus
30481,Staryu,Mew,Mew
30482,Crobat,Electivire,Crobat
30483,Throh,Haunter,Haunter
30484,Mega Gengar,Snubbull,Mega Gengar
30485,Riolu,Primeape,Primeape
30486,Floette,Pumpkaboo Super Size,Floette
30487,Spritzee,Binacle,Binacle
