,First_pokemon,Second_pokemon,Winner,win_class
64116,Combee,Vespiquen,Vespiquen,Special
64117,Weavile,Crabrawler,Weavile,Physical
64118,Minccino,Mantine,Mantine,Special
64119,Staraptor,Rowlet,Staraptor,Physical
64120,Solrock,Omastar,Solrock,Special
64121,Eternatus,Mudkip,Mudkip,Special
64122,Tsareena,Nuzleaf,Nuzleaf,Physical
64123,Nickit,Arbok,Arbok,Physical
64124,Guzzlord,Silvally,Guzzlord,Physical
64125,Luvdisc,Crobat,Crobat,Special
64126,Dubwool,Kricketot,Dubwool,Physical
64127,Rampardos,Ultra Necrozma,Ultra Necrozma,Physical
64128,Mega Blaziken,Lileep,Mega Blaziken,Physical
64129,Kirlia,Eelektross,Kirlia,Special
64130,Tympole,Charmander,Charmander,Physical
64131,Alolan Ninetales,Claydol,Claydol,Physical
64132,Shelmet,Ponyta,Ponyta,Special
64133,Ferrothorn,Simipour,Ferrothorn,Physical
64134,Cranidos,Tympole,Cranidos,Physical
64135,Armaldo,Fomantis,Armaldo,Special
64136,Eelektross,Hatterene,Eelektross,Physical
64137,Zeraora,Mega Metagross,Mega Metagross,Physical
64138,Swellow,Beartic,Swellow,Physical
64139,Deino,Surskit,Deino,Physical
64140,Cloyster,Fennekin,Fennekin,Special
64141,Staryu,Swampert,Swampert,Physical
64142,Trubbish,Cherubi,Trubbish,Physical
64143,Emolga,Alolan Grimer,Emolga,Physical
64144,Archeops,Tsareena,Archeops,Physical
64145,Palkia,Growlithe,Palkia,Physical
64146,Cubone,Pelipper,Pelipper,Physical
64147,Palossand,Fomantis,Palossand,Special
64148,Coalossal,Bunnelby,Coalossal,Physical
64149,Togetic,Staryu,Togetic,Special
64150,Geodude,Butterfree,Butterfree,Physical
64151,Dwebble,Lampent,Dwebble,Physical
64152,Pincurchin,Azumarill,Pincurchin,Physical
64153,Feebas,Centiskorch,Centiskorch,Physical
64154,Marshtomp,Vullaby,Marshtomp,Physical
64155,Slaking,Solgaleo,Slaking,Physical
64156,Decidueye,Simisage,Decidueye,Physical
64157,Grimmsnarl,Machop,Grimmsnarl,Special
64158,Garchomp,Sudowoodo,Sudowoodo,Physical
64159,Shelgon,Yungoos,Shelgon,Physical
64160,Jellicent,Brionne,Jellicent,Special
64161,Weavile,Glameow,Glameow,Physical
64162,Mantine,Diglett,Mantine,Physical
64163,Hariyama,Surskit,Surskit,Physical
64164,Fraxure,Xurkitree,Xurkitree,Physical
64165,Gardevoir,Mew,Mew,Physical
64166,Palossand,Binacle,Palossand,Special
64167,Torracat,Shroomish,Shroomish,Physical
64168,Graveler,Wimpod,Graveler,Physical
64169,Frogadier,Accelgor,Accelgor,Physical
64170,Chingling,Shiftry,Shiftry,Physical
64171,Lilligant,Hoopa Unbound,Hoopa Unbound,Special
64172,Dragonite,Pansear,Dragonite,Special
64173,Mew,Mienfoo,Mew,Physical
64174,Mudsdale,Pachirisu,Mudsdale,Physical
64175,Tapu Koko,Scraggy,Tapu Koko,Physical
64176,Kyogre,Leavanny,Kyogre,Special
64177,Kricketot,Shellder,Shellder,Special
64178,Emolga,Duraludon,Duraludon,Special
64179,Mega Houndoom,Abra,Mega Houndoom,Physical
64180,Dugtrio,Perrserker,Perrserker,Physical
64181,Shroomish,Hawlucha,Hawlucha,Physical
64182,Pangoro,Butterfree,Pangoro,Special
64183,Regirock,Lugia,Regirock,Physical
64184,Kangaskhan,Centiskorch,Kangaskhan,Physical
64185,Medicham,Kricketot,Medicham,Special
64186,Alolan Persian,Nidoking,Nidoking,Physical
64187,Fan Rotom,Spewpa,Spewpa,Physical
64188,Toxel,Dedenne,Dedenne,Physical
64189,Crawdaunt,Nihilego,Nihilego,Special
64190,Minccino,Elgyem,Minccino,Physical
64191,Dodrio,Corphish,Corphish,Physical
64192,Zorua,Slurpuff,Slurpuff,Physical
64193,Volbeat,Marill,Volbeat,Special
64194,Deino,Alolan Sandshrew,Alolan Sandshrew,Physical
64195,Mega Tyranitar,Mantyke,Mantyke,Special
64196,Goldeen,Mow Rotom,Goldeen,Physical
64197,Panpour,Stonjourner,Panpour,Special
64198,Kadabra,Hoopa Unbound,Kadabra,Physical
64199,Pawniard,Gossifleur,Pawniard,Physical
64200,Spritzee,Primal Kyogre,Primal Kyogre,Physical
64201,Croagunk,Haunter,Croagunk,Physical
64202,Tyrunt,Numel,Tyrunt,Physical
64203,Furret,Vileplume,Vileplume,Special
64204,Shiftry,Glaceon,Glaceon,Physical
64205,Milcery,Comfey,Milcery,Physical
64206,Glastrier,Mesprit,Glastrier,Physical
64207,Regice,Grumpig,Regice,Physical
64208,Piloswine,Morgrem,Piloswine,Physical
64209,Primarina,Mega Absol,Mega Absol,Physical
64210,Lanturn,Ludicolo,Ludicolo,Special
64211,Sandslash,Masquerain,Sandslash,Physical
64212,Sunkern,Floette,Floette,Physical
64213,Forretress,Sudowoodo,Sudowoodo,Physical
64214,Jellicent,Scorbunny,Jellicent,Special
64215,Remoraid,Silicobra,Silicobra,Physical
64216,Jolteon,Alolan Vulpix,Jolteon,Physical
64217,Hitmonchan,Unfezant,Unfezant,Special
64218,Frosmoth,Heat Rotom,Heat Rotom,Physical
64219,Cresselia,Jumpluff,Cresselia,Physical
64220,Palossand,Spoink,Palossand,Special
64221,Gengar,Kricketot,Gengar,Physical
64222,Grapploct,Numel,Grapploct,Physical
64223,Wimpod,Poipole,Wimpod,Physical
64224,Luxio,Klang,Klang,Special
64225,Drifblim,Popplio,Drifblim,Physical
64226,Combee,Tapu Bulu,Tapu Bulu,Physical
64227,Nidorina,Diggersby,Diggersby,Physical
64228,Staraptor,Espurr,Staraptor,Special
64229,Weavile,Ivysaur,Weavile,Physical
64230,Beheeyem,Mega Latias,Mega Latias,Special
64231,Houndoom,Regieleki,Regieleki,Special
64232,Quilava,Drampa,Drampa,Special
64233,Tangrowth,Fearow,Tangrowth,Physical
64234,Spheal,Roselia,Roselia,Physical
64235,Huntail,Camerupt,Camerupt,Physical
64236,Forretress,Mareep,Forretress,Physical
64237,Togepi,Garchomp,Garchomp,Physical
64238,Tynamo,Swellow,Tynamo,Physical
64239,Arrokuda,Tympole,Arrokuda,Physical
64240,Mudsdale,Delphox,Mudsdale,Physical
64241,Appletun,Magearna,Magearna,Special
64242,Oddish,Tangrowth,Tangrowth,Physical
64243,Slowking,Celesteela,Slowking,Special
64244,Centiskorch,Snubbull,Centiskorch,Special
64245,Crustle,Eevee,Crustle,Physical
64246,Swirlix,Archen,Archen,Physical
64247,Spritzee,Moltres,Moltres,Physical
64248,Kadabra,Wailord,Wailord,Physical
64249,Granbull,Scyther,Granbull,Physical
64250,Krookodile,Gloom,Krookodile,Physical
64251,Vanillish,Omanyte,Vanillish,Physical
64252,Kakuna,Emolga,Emolga,Physical
64253,Wobbuffet,Gogoat,Gogoat,Physical
64254,Melmetal,Snorlax,Melmetal,Physical
64255,Regice,Doduo,Regice,Physical
64256,Machop,Amaura,Amaura,Physical
64257,Corsola,Stunfisk,Stunfisk,Physical
64258,Mega Aerodactyl,Pangoro,Pangoro,Physical
64259,Shuppet,Rotom,Rotom,Special
64260,Frillish,Hoppip,Hoppip,Special
64261,Grotle,Weepinbell,Grotle,Physical
64262,Aron,Turtonator,Turtonator,Physical
64263,Cresselia,Skarmory,Skarmory,Physical
64264,Mega Sableye,Pupitar,Pupitar,Physical
64265,Tangrowth,White Kyurem,Tangrowth,Physical
64266,Bronzong,Swoobat,Bronzong,Physical
64267,Klinklang,Whiscash,Whiscash,Special
64268,Horsea,Drowzee,Drowzee,Physical
64269,Latias,Bibarel,Latias,Physical
64270,Alcremie,Uxie,Uxie,Physical
64271,Fletchling,Garbodor,Garbodor,Special
64272,Omanyte,Oddish,Oddish,Physical
64273,Minun,Happiny,Minun,Physical
64274,Glalie,Tapu Fini,Tapu Fini,Special
64275,Sceptile,Mega Scizor,Mega Scizor,Physical
64276,Mantine,Weepinbell,Mantine,Special
64277,Poliwhirl,Alolan Dugtrio,Alolan Dugtrio,Physical
64278,Bronzor,Magneton,Bronzor,Physical
64279,Wurmple,Gurdurr,Gurdurr,Physical
64280,Mewtwo,Lotad,Mewtwo,Physical
64281,Zangoose,Corsola,Zangoose,Physical
64282,Exeggutor,Uxie,Exeggutor,Special
64283,Sealeo,Hatterene,Hatterene,Special
64284,Alolan Persian,Doduo,Alolan Persian,Physical
64285,Slugma,Drifblim,Slugma,Special
64286,Froslass,Woobat,Froslass,Physical
64287,Altaria,Skuntank,Altaria,Special
64288,Golduck,Beedrill,Golduck,Physical
64289,Snover,Jolteon,Jolteon,Special
64290,Masquerain,Drizzile,Drizzile,Special
64291,Wurmple,Pikachu,Wurmple,Physical
64292,Qwilfish,Mega Camerupt,Mega Camerupt,Special
64293,Trumbeak,Mienfoo,Mienfoo,Physical
64294,Cacnea,Pupitar,Pupitar,Physical
64295,Tauros,Bounsweet,Tauros,Physical
64296,Mudbray,Regice,Regice,Physical
64297,Wooper,Sandygast,Sandygast,Special
64298,Stufful,Chingling,Stufful,Physical
64299,Maractus,Pachirisu,Pachirisu,Physical
64300,Pichu,Cramorant,Cramorant,Physical
64301,Black Kyurem,Pyroar,Black Kyurem,Physical
64302,Toxicroak,Jellicent,Jellicent,Special
64303,Yanma,Typhlosion,Typhlosion,Physical
64304,Palkia,Piplup,Palkia,Physical
64305,Kadabra,Poochyena,Kadabra,Physical
64306,Horsea,Nidorina,Horsea,Special
64307,Palpitoad,Machamp,Palpitoad,Physical
64308,Emboar,Roselia,Emboar,Special
64309,Magmortar,Chikorita,Magmortar,Physical
64310,Lopunny,Mega Blastoise,Lopunny,Physical
64311,Honchkrow,Mismagius,Mismagius,Physical
64312,Eternatus Eternamax,Delcatty,Eternatus Eternamax,Special
64313,Lurantis,Diggersby,Lurantis,Physical
64314,Yamask,Braviary,Braviary,Physical
64315,Lampent,Galvantula,Lampent,Special
64316,Empoleon,Tentacruel,Empoleon,Special
64317,Conkeldurr,Stantler,Conkeldurr,Physical
64318,Steelix,Rookidee,Steelix,Physical
64319,Combee,Mega Glalie,Mega Glalie,Special
64320,Blissey,Ambipom,Ambipom,Physical
64321,Tsareena,Bellsprout,Tsareena,Physical
64322,Ralts,Ninetales,Ninetales,Special
64323,Clefable,Trevenant,Clefable,Physical
64324,Larvitar,Mareep,Larvitar,Physical
64325,Mega Camerupt,Alolan Exeggutor,Alolan Exeggutor,Special
64326,Parasect,Carracosta,Parasect,Physical
64327,Swablu,Seaking,Seaking,Physical
64328,Bruxish,Linoone,Bruxish,Special
64329,Tepig,Mega Sceptile,Mega Sceptile,Special
64330,Gabite,Skitty,Gabite,Physical
64331,Masquerain,Abomasnow,Abomasnow,Physical
64332,Zapdos,Metapod,Zapdos,Special
64333,Shinx,Corviknight,Shinx,Physical
64334,Vullaby,Kyurem,Kyurem,Special
64335,Machoke,Venomoth,Venomoth,Physical
64336,Arctozolt,Cranidos,Cranidos,Physical
64337,Cubone,Victreebel,Cubone,Physical
64338,Beartic,Rayquaza,Rayquaza,Physical
64339,Mewtwo,Magnemite,Mewtwo,Physical
64340,Kyogre,Piplup,Kyogre,Physical
64341,Mega Sharpedo,Alolan Rattata,Mega Sharpedo,Physical
64342,Kabutops,Bronzong,Bronzong,Special
64343,Regice,Dugtrio,Regice,Physical
64344,Delphox,Growlithe,Delphox,Physical
64345,Torchic,Natu,Torchic,Physical
64346,Gogoat,Ursaring,Gogoat,Physical
64347,Tranquill,Golem,Golem,Physical
64348,Spiritomb,Ralts,Spiritomb,Special
64349,Flapple,Seel,Seel,Physical
64350,Houndoom,Mega Beedrill,Mega Beedrill,Physical
64351,Turtonator,Grotle,Grotle,Physical
64352,Arrokuda,Poliwrath,Poliwrath,Physical
64353,Yanma,Swirlix,Swirlix,Physical
64354,Sandshrew,Araquanid,Araquanid,Physical
64355,Jigglypuff,Kubfu,Kubfu,Physical
64356,Dreepy,Eelektrik,Eelektrik,Physical
64357,Amoonguss,Feraligatr,Amoonguss,Special
64358,Feebas,Primal Kyogre,Primal Kyogre,Physical
64359,Mega Gengar,Liepard,Liepard,Physical
64360,Flareon,Spoink,Flareon,Physical
64361,Primal Groudon,Turtwig,Primal Groudon,Physical
64362,Weedle,Croagunk,Croagunk,Physical
64363,Krookodile,Amaura,Krookodile,Physical
64364,Nidoking,Swadloon,Nidoking,Physical
64365,Corviknight,Lopunny,Lopunny,Special
64366,Cottonee,Delibird,Delibird,Special
64367,Dartrix,Minccino,Dartrix,Physical
64368,Ninjask,Illumise,Illumise,Physical
64369,Phantump,Falinks,Falinks,Physical
64370,Klang,Totodile,Klang,Physical
64371,Spoink,Cherrim,Cherrim,Physical
64372,Leafeon,Dewpider,Leafeon,Special
64373,Baltoy,Slaking,Slaking,Physical
64374,Woobat,Poliwrath,Poliwrath,Physical
64375,Uxie,Escavalier,Escavalier,Physical
64376,Dragonite,Toucannon,Dragonite,Physical
64377,Muk,Scorbunny,Muk,Physical
64378,Oshawott,Gorebyss,Gorebyss,Special
64379,Cobalion,Pikipek,Cobalion,Physical
64380,Serperior,Sandslash,Serperior,Physical
64381,Alolan Exeggutor,Tapu Koko,Alolan Exeggutor,Physical
64382,Glalie,Grimer,Glalie,Physical
64383,Castform,Lurantis,Lurantis,Physical
64384,Mega Mewtwo Y,Dewott,Mega Mewtwo Y,Special
64385,Drilbur,Mega Metagross,Mega Metagross,Physical
64386,Cosmoem,Muk,Muk,Physical
64387,Araquanid,Dratini,Dratini,Special
64388,Klinklang,Steelix,Steelix,Physical
64389,Omanyte,Litten,Omanyte,Physical
64390,Alolan Persian,Tympole,Alolan Persian,Physical
64391,Brionne,Wynaut,Brionne,Special
64392,Misdreavus,Shellos,Misdreavus,Physical
64393,Sizzlipede,Mega Pidgeot,Mega Pidgeot,Physical
64394,Luxio,Buneary,Luxio,Special
64395,Omastar,Alolan Raticate,Alolan Raticate,Physical
64396,Rotom,Eldegoss,Rotom,Special
64397,Camerupt,Quilava,Quilava,Special
64398,Drowzee,Cascoon,Drowzee,Physical
64399,Darkrai,Bouffalant,Darkrai,Physical
64400,Sealeo,Rookidee,Sealeo,Special
64401,Munchlax,Dustox,Dustox,Special
64402,Whimsicott,Dusknoir,Dusknoir,Physical
64403,Umbreon,Piloswine,Piloswine,Special
64404,Paras,Parasect,Paras,Physical
64405,Yamask,Sliggoo,Sliggoo,Special
64406,Volcarona,Drapion,Volcarona,Physical
64407,Simisear,Bruxish,Simisear,Physical
64408,Scolipede,Solosis,Scolipede,Special
64409,Glalie,Mismagius,Glalie,Special
64410,Venomoth,Geodude,Geodude,Physical
64411,Bruxish,Ekans,Ekans,Physical
64412,Kecleon,Muk,Muk,Physical
64413,Drednaw,Budew,Drednaw,Physical
64414,Combusken,Slowking,Combusken,Special
64415,Cherrim,Skorupi,Skorupi,Physical
64416,Regidrago,Pyukumuku,Regidrago,Special
64417,Budew,Leavanny,Leavanny,Physical
64418,Slowbro,White Kyurem,White Kyurem,Physical
64419,Starmie,Slaking,Slaking,Special
64420,Alolan Diglett,Kricketune,Kricketune,Physical
64421,Passimian,Pincurchin,Passimian,Physical
64422,Volcanion,Krokorok,Volcanion,Physical
64423,Caterpie,Cufant,Cufant,Physical
64424,Excadrill,Pachirisu,Excadrill,Physical
64425,Eevee,Barbaracle,Barbaracle,Physical
64426,Altaria,Onix,Altaria,Special
64427,Frogadier,Kyurem,Kyurem,Special
64428,Drednaw,Pyroar,Drednaw,Physical
64429,Wash Rotom,Mega Banette,Wash Rotom,Physical
64430,Alolan Dugtrio,Jolteon,Alolan Dugtrio,Special
64431,Calyrex,Mienfoo,Calyrex,Special
64432,Mantyke,Mega Gengar,Mega Gengar,Special
64433,Metagross,Floette,Metagross,Physical
64434,Toxicroak,Delcatty,Toxicroak,Physical
64435,Entei,Sandslash,Entei,Special
64436,Natu,Bonsly,Bonsly,Physical
64437,Phione,Tynamo,Phione,Special
64438,Magmar,Machop,Magmar,Physical
64439,Magmar,Charizard,Magmar,Physical
64440,Emolga,Cherubi,Emolga,Special
64441,Totodile,Braixen,Braixen,Physical
64442,Gible,Arctovish,Arctovish,Special
64443,Chesnaught,Shieldon,Chesnaught,Physical
64444,Noivern,Mega Charizard X,Noivern,Special
64445,Weavile,Pikachu,Weavile,Special
64446,Charjabug,Larvitar,Charjabug,Physical
64447,Diggersby,Heracross,Heracross,Physical
64448,Simisage,Alakazam,Simisage,Special
64449,Staraptor,Gastrodon,Staraptor,Special
64450,Pidgeot,Appletun,Appletun,Special
64451,Own Tempo Rockruff,White Kyurem,White Kyurem,Physical
64452,Mega Camerupt,Raticate,Mega Camerupt,Physical
64453,Alakazam,Croagunk,Croagunk,Physical
64454,Eldegoss,Cacnea,Eldegoss,Special
64455,Scizor,Manaphy,Scizor,Physical
64456,Snorlax,Riolu,Snorlax,Special
64457,Mega Kangaskhan,Aromatisse,Mega Kangaskhan,Physical
64458,Primeape,Magneton,Magneton,Special
64459,Celebi,Kricketune,Celebi,Physical
64460,Mega Mawile,Munna,Mega Mawile,Physical
64461,Dartrix,Heatmor,Dartrix,Physical
64462,Combee,Dewott,Dewott,Physical
64463,Furfrou,Mega Latias,Furfrou,Physical
64464,Houndoom,Treecko,Houndoom,Physical
64465,Whimsicott,Shiinotic,Whimsicott,Special
64466,Lillipup,Pansear,Pansear,Physical
64467,Rowlet,Probopass,Rowlet,Physical
64468,Noivern,Doduo,Noivern,Special
64469,Aipom,Ambipom,Aipom,Physical
64470,Pignite,Golbat,Pignite,Special
64471,Alolan Meowth,Snom,Alolan Meowth,Special
64472,Scorbunny,Dialga,Dialga,Physical
64473,Cosmoem,Cramorant,Cramorant,Physical
64474,Hitmonlee,Raticate,Hitmonlee,Special
64475,Gossifleur,Beldum,Beldum,Special
64476,Pansear,Phione,Phione,Physical
64477,Mega Mawile,Alolan Persian,Mega Mawile,Physical
64478,Dunsparce,Mega Rayquaza,Mega Rayquaza,Physical
64479,Slowbro,Toxel,Slowbro,Special
64480,Tentacool,Mudbray,Tentacool,Special
64481,Sandshrew,Metagross,Metagross,Physical
64482,Glalie,Rowlet,Glalie,Physical
64483,Camerupt,Pidgeot,Pidgeot,Physical
64484,Scyther,Swanna,Swanna,Physical
64485,Heliolisk,Lunala,Lunala,Special
64486,Oshawott,Ralts,Oshawott,Physical
64487,Aromatisse,Nuzleaf,Nuzleaf,Physical
64488,Alakazam,Croconaw,Alakazam,Physical
64489,Obstagoon,Zapdos,Zapdos,Physical
64490,Bulbasaur,Scraggy,Scraggy,Physical
64491,Steenee,Mega Alakazam,Mega Alakazam,Special
64492,Slakoth,Joltik,Joltik,Physical
64493,Druddigon,Rolycoly,Druddigon,Physical
64494,Porygon2,Entei,Entei,Physical
64495,Mega Gardevoir,Liepard,Liepard,Special
64496,Snom,Metagross,Metagross,Special
64497,Meltan,Jigglypuff,Jigglypuff,Physical
64498,Mega Lopunny,Mega Beedrill,Mega Lopunny,Physical
64499,Mamoswine,Mega Absol,Mega Absol,Physical
64500,Metagross,Shiftry,Metagross,Physical
64501,Tapu Fini,Copperajah,Copperajah,Physical
64502,Zapdos,Tranquill,Zapdos,Special
64503,Makuhita,Articuno,Articuno,Physical
64504,Gloom,Wigglytuff,Wigglytuff,Physical
64505,Lickitung,Yanma,Lickitung,Physical
64506,Binacle,Alolan Raticate,Alolan Raticate,Physical
64507,Ariados,Vullaby,Ariados,Special
64508,Phione,Rhyperior,Rhyperior,Special
64509,Blastoise,Uxie,Blastoise,Physical
64510,Squirtle,Maractus,Squirtle,Special
64511,Shellos,Blipbug,Shellos,Special
64512,Whimsicott,Cofagrigus,Cofagrigus,Special
64513,Mienshao,Dusknoir,Mienshao,Physical
64514,Incineroar,Chimchar,Incineroar,Physical
64515,Swirlix,Dustox,Swirlix,Special
64516,Lopunny,Ambipom,Lopunny,Physical
64517,Shiinotic,Poliwrath,Poliwrath,Physical
64518,Grimer,Boltund,Boltund,Physical
64519,Squirtle,Carvanha,Carvanha,Physical
64520,Tapu Koko,Rowlet,Tapu Koko,Physical
64521,Cofagrigus,Toxapex,Cofagrigus,Physical
64522,Claydol,Tauros,Tauros,Physical
64523,Piplup,Shelmet,Piplup,Special
64524,Reshiram,Mega Pidgeot,Reshiram,Physical
64525,Nosepass,Ambipom,Ambipom,Physical
64526,Blitzle,Absol,Absol,Physical
64527,Metang,Regigigas,Regigigas,Physical
64528,Mega Latios,Naganadel,Naganadel,Physical
64529,Drowzee,Purrloin,Purrloin,Physical
64530,Mega Blaziken,Gligar,Mega Blaziken,Special
64531,Raichu,Dubwool,Dubwool,Physical
64532,Cranidos,Reshiram,Reshiram,Special
64533,Mienfoo,Xerneas,Xerneas,Physical
64534,Sigilyph,Magikarp,Sigilyph,Physical
64535,Lillipup,Bastiodon,Bastiodon,Physical
64536,Poliwhirl,Zweilous,Zweilous,Physical
64537,Regieleki,Roserade,Regieleki,Physical
64538,Eldegoss,Kecleon,Eldegoss,Physical
64539,Hoothoot,Bronzong,Bronzong,Special
64540,Gloom,Mudkip,Gloom,Special
64541,Sizzlipede,Arbok,Arbok,Special
64542,Trubbish,Hitmontop,Hitmontop,Physical
64543,Venonat,Ribombee,Ribombee,Special
64544,Poliwrath,Kangaskhan,Kangaskhan,Physical
64545,Zigzagoon,Tsareena,Tsareena,Physical
64546,Slowking,Sunkern,Slowking,Physical
64547,Magcargo,Omanyte,Magcargo,Physical
64548,Silcoon,Lotad,Lotad,Physical
64549,Munna,Grapploct,Munna,Special
64550,Forretress,Mareep,Forretress,Physical
64551,Phione,Sneasel,Sneasel,Physical
64552,Accelgor,Nincada,Accelgor,Special
64553,Flapple,Meowstic Male,Flapple,Physical
64554,Frillish,Shelgon,Frillish,Special
64555,Heatran,Tranquill,Heatran,Special
64556,Mudkip,Slakoth,Slakoth,Physical
64557,Porygon,Greedent,Greedent,Physical
64558,Mega Mawile,Croagunk,Mega Mawile,Special
64559,Diggersby,Archeops,Archeops,Physical
64560,Petilil,Alolan Raticate,Alolan Raticate,Physical
64561,Regirock,Cherrim,Cherrim,Physical
64562,Machoke,Sudowoodo,Sudowoodo,Physical
64563,Decidueye,Drifloon,Decidueye,Special
64564,Golett,Golurk,Golett,Physical
64565,Oddish,Durant,Durant,Physical
64566,Uxie,Ledyba,Uxie,Physical
64567,Lombre,Ponyta,Lombre,Special
64568,Shelgon,Melmetal,Melmetal,Physical
64569,Yamask,Cramorant,Yamask,Special
64570,Frosmoth,Raticate,Frosmoth,Special
64571,Tapu Lele,Zekrom,Tapu Lele,Special
64572,Mega Metagross,Magearna,Magearna,Special
64573,Primal Kyogre,Solosis,Primal Kyogre,Physical
64574,Rapidash,Flaaffy,Rapidash,Physical
64575,Chesnaught,Gligar,Chesnaught,Special
64576,Porygon,Latias,Latias,Special
64577,Stufful,Suicune,Suicune,Special
64578,Bellossom,Cobalion,Cobalion,Physical
64579,Oshawott,Happiny,Oshawott,Physical
64580,Chesnaught,Torchic,Chesnaught,Physical
64581,Absol,Thievul,Absol,Physical
64582,Wooper,Munna,Wooper,Physical
64583,Morgrem,Noibat,Morgrem,Physical
64584,Hydreigon,Hypno,Hypno,Physical
64585,Espeon,Budew,Budew,Physical
64586,Volcarona,Wimpod,Volcarona,Physical
64587,Prinplup,Copperajah,Copperajah,Physical
64588,Roserade,Boltund,Roserade,Physical
64589,Sneasel,Mantyke,Sneasel,Physical
64590,Grimmsnarl,Phione,Grimmsnarl,Physical
64591,Mega Garchomp,Pidgeot,Mega Garchomp,Special
64592,Spritzee,Starmie,Spritzee,Special
64593,Raichu,Grimmsnarl,Grimmsnarl,Physical
64594,Delcatty,Hatterene,Delcatty,Special
64595,Piloswine,Bunnelby,Piloswine,Physical
64596,Golbat,Golisopod,Golbat,Physical
64597,Chansey,Falinks,Falinks,Physical
64598,Drifblim,Emolga,Drifblim,Physical
64599,Falinks,Bunnelby,Falinks,Physical
64600,Lairon,Lurantis,Lairon,Physical
64601,Tirtouga,Archeops,Archeops,Special
64602,Munchlax,Mega Slowbro,Mega Slowbro,Physical
64603,Duskull,Escavalier,Escavalier,Physical
64604,Mega Tyranitar,Purugly,Mega Tyranitar,Physical
64605,Rolycoly,Dreepy,Dreepy,Physical
64606,Ferroseed,Phione,Phione,Physical
64607,Skitty,Lunala,Lunala,Special
64608,Crobat,Ferroseed,Ferroseed,Physical
64609,Azumarill,Beartic,Beartic,Physical
64610,Rhyhorn,Deerling,Rhyhorn,Physical
64611,Goldeen,Ninjask,Ninjask,Physical
64612,Noibat,Bronzong,Bronzong,Physical
64613,Mega Aerodactyl,Grapploct,Grapploct,Physical
64614,Slurpuff,Mareanie,Slurpuff,Physical
64615,Kubfu,Cleffa,Cleffa,Special
64616,Cherubi,Vanilluxe,Vanilluxe,Physical
64617,Electrode,Venonat,Electrode,Physical
64618,Rufflet,Carkol,Carkol,Physical
64619,Tynamo,Magmortar,Magmortar,Physical
64620,Vanillite,Trumbeak,Trumbeak,Physical
64621,Vanillish,Aerodactyl,Aerodactyl,Physical
64622,Mega Medicham,Arceus,Arceus,Physical
64623,Misdreavus,Serperior,Serperior,Physical
64624,Clawitzer,Lanturn,Lanturn,Special
64625,Huntail,Igglybuff,Huntail,Physical
64626,Swoobat,Primal Kyogre,Primal Kyogre,Special
64627,Whiscash,Fraxure,Fraxure,Physical
64628,Lucario,Dartrix,Dartrix,Special
64629,Azelf,Celebi,Azelf,Physical
64630,Mega Abomasnow,Hydreigon,Hydreigon,Physical
64631,Espurr,Karrablast,Karrablast,Physical
64632,Gothitelle,Forretress,Gothitelle,Special
64633,Blipbug,Drowzee,Drowzee,Physical
64634,Latias,Barbaracle,Latias,Physical
64635,Hippopotas,Muk,Muk,Physical
64636,Volcarona,Gliscor,Volcarona,Physical
64637,Indeedee Female,Manaphy,Manaphy,Special
64638,Mega Beedrill,Lunatone,Lunatone,Special
64639,Gothorita,Alolan Marowak,Alolan Marowak,Physical
64640,Blaziken,Corsola,Blaziken,Physical
64641,Yamask,Hoothoot,Hoothoot,Special
64642,Remoraid,Skarmory,Remoraid,Physical
64643,Gastly,Inkay,Gastly,Special
64644,Clefable,Alolan Geodude,Clefable,Physical
64645,Carbink,Alolan Dugtrio,Alolan Dugtrio,Physical
64646,Milotic,Bronzong,Bronzong,Special
64647,Walrein,Roserade,Walrein,Physical
64648,Tapu Fini,Moltres,Moltres,Special
64649,Exeggcute,Diglett,Exeggcute,Physical
64650,Tirtouga,Togepi,Tirtouga,Physical
64651,Mega Kangaskhan,Alolan Dugtrio,Mega Kangaskhan,Special
64652,Passimian,Rattata,Passimian,Physical
64653,Cosmoem,Orbeetle,Orbeetle,Physical
64654,Krabby,Porygon,Porygon,Special
64655,Solrock,Medicham,Solrock,Physical
64656,Helioptile,Croconaw,Croconaw,Physical
64657,Vaporeon,Mega Lopunny,Mega Lopunny,Special
64658,Tauros,Reuniclus,Reuniclus,Special
64659,Bibarel,Zekrom,Zekrom,Physical
64660,Primeape,Roselia,Primeape,Physical
64661,Vivillon,Lurantis,Vivillon,Special
64662,Weavile,Lugia,Lugia,Physical
64663,Forretress,Dustox,Forretress,Special
64664,Barraskewda,Voltorb,Barraskewda,Physical
64665,Piloswine,Drednaw,Drednaw,Physical
64666,Flapple,Electrode,Flapple,Special
64667,Claydol,Krabby,Claydol,Physical
64668,Electrode,Rattata,Electrode,Physical
64669,Glameow,Whirlipede,Whirlipede,Physical
64670,Greninja,Golem,Greninja,Physical
64671,Mega Latios,Bidoof,Mega Latios,Physical
64672,Whimsicott,Gligar,Gligar,Physical
64673,Gallade,Carkol,Gallade,Special
64674,Lurantis,Tyrogue,Lurantis,Physical
64675,Chatot,Misdreavus,Chatot,Physical
64676,Staraptor,Regieleki,Regieleki,Physical
64677,Nidoking,Cleffa,Nidoking,Physical
64678,Diancie,Carbink,Carbink,Special
